loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_f1_macro,eval_f1_weighted,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.6978656005859376,2.458954334259033,1.9673333333333337e-05,0.05,50,,,,,,,,,,,,
1.588670654296875,2.261945962905884,1.934e-05,0.1,100,,,,,,,,,,,,
1.5762313842773437,2.3207075595855713,1.900666666666667e-05,0.15,150,,,,,,,,,,,,
1.541831512451172,2.208519458770752,1.8673333333333333e-05,0.2,200,,,,,,,,,,,,
1.488250732421875,4.597208499908447,1.834e-05,0.25,250,,,,,,,,,,,,
1.42791748046875,2.799463987350464,1.8006666666666668e-05,0.3,300,,,,,,,,,,,,
1.3978318786621093,3.8812365531921387,1.7673333333333336e-05,0.35,350,,,,,,,,,,,,
1.293592529296875,13.215423583984375,1.734e-05,0.4,400,,,,,,,,,,,,
1.23208251953125,5.2961249351501465,1.7006666666666668e-05,0.45,450,,,,,,,,,,,,
1.2066642761230468,15.058741569519043,1.6673333333333335e-05,0.5,500,,,,,,,,,,,,
1.1775518035888672,10.507813453674316,1.634e-05,0.55,550,,,,,,,,,,,,
1.152479248046875,6.73378849029541,1.6006666666666667e-05,0.6,600,,,,,,,,,,,,
1.1940243530273438,8.305689811706543,1.5673333333333335e-05,0.65,650,,,,,,,,,,,,
1.0962337493896483,4.575291156768799,1.5340000000000002e-05,0.7,700,,,,,,,,,,,,
1.0709715270996094,3.826417922973633,1.5006666666666666e-05,0.75,750,,,,,,,,,,,,
1.0749394989013672,4.374301433563232,1.4673333333333336e-05,0.8,800,,,,,,,,,,,,
1.0240058135986327,5.577442169189453,1.434e-05,0.85,850,,,,,,,,,,,,
1.0090071868896484,4.615204811096191,1.400666666666667e-05,0.9,900,,,,,,,,,,,,
1.0037372589111329,11.77440071105957,1.3673333333333333e-05,0.95,950,,,,,,,,,,,,
0.945585708618164,7.133793354034424,1.3340000000000001e-05,1.0,1000,,,,,,,,,,,,
,,,1.0,1000,0.9090809226036072,0.661,0.46610851283352533,0.5886379617279862,12.8758,155.33,9.708,,,,,
0.9367733001708984,5.102263450622559,1.3006666666666667e-05,1.05,1050,,,,,,,,,,,,
0.8734317779541015,10.029610633850098,1.2673333333333335e-05,1.1,1100,,,,,,,,,,,,
0.8297622680664063,10.12067985534668,1.234e-05,1.15,1150,,,,,,,,,,,,
0.8381140899658203,10.388031959533691,1.2006666666666668e-05,1.2,1200,,,,,,,,,,,,
0.8153089904785156,7.293983459472656,1.1673333333333334e-05,1.25,1250,,,,,,,,,,,,
0.7747698974609375,6.081604957580566,1.134e-05,1.3,1300,,,,,,,,,,,,
0.7660387420654297,5.406127452850342,1.1006666666666667e-05,1.35,1350,,,,,,,,,,,,
0.7694612121582032,10.83400821685791,1.0673333333333333e-05,1.4,1400,,,,,,,,,,,,
0.7645648956298828,11.433839797973633,1.0340000000000001e-05,1.45,1450,,,,,,,,,,,,
0.7558794403076172,5.742478370666504,1.0006666666666667e-05,1.5,1500,,,,,,,,,,,,
0.7301197052001953,4.542776107788086,9.673333333333334e-06,1.55,1550,,,,,,,,,,,,
0.724932632446289,12.197071075439453,9.340000000000002e-06,1.6,1600,,,,,,,,,,,,
0.7253769683837891,8.216230392456055,9.006666666666666e-06,1.65,1650,,,,,,,,,,,,
0.7169100952148437,10.112761497497559,8.673333333333334e-06,1.7,1700,,,,,,,,,,,,
0.6946259307861328,4.499459743499756,8.34e-06,1.75,1750,,,,,,,,,,,,
0.6577314758300781,6.404052734375,8.006666666666667e-06,1.8,1800,,,,,,,,,,,,
0.6753614044189453,11.83862018585205,7.673333333333333e-06,1.85,1850,,,,,,,,,,,,
0.6625394439697265,8.985279083251953,7.340000000000001e-06,1.9,1900,,,,,,,,,,,,
0.630049934387207,6.7083516120910645,7.006666666666667e-06,1.95,1950,,,,,,,,,,,,
0.6397773742675781,8.965242385864258,6.6733333333333335e-06,2.0,2000,,,,,,,,,,,,
,,,2.0,2000,0.5998592376708984,0.8295,0.7780861088905077,0.8237973047826765,11.6042,172.351,10.772,,,,,
0.5866144943237305,6.693985939025879,6.34e-06,2.05,2050,,,,,,,,,,,,
0.5802415466308594,3.5406606197357178,6.006666666666667e-06,2.1,2100,,,,,,,,,,,,
0.5932296752929688,11.76410961151123,5.673333333333334e-06,2.15,2150,,,,,,,,,,,,
0.560676498413086,9.618146896362305,5.3400000000000005e-06,2.2,2200,,,,,,,,,,,,
0.5710546112060547,14.835578918457031,5.006666666666667e-06,2.25,2250,,,,,,,,,,,,
0.5600775527954102,6.14532470703125,4.673333333333333e-06,2.3,2300,,,,,,,,,,,,
0.5589730453491211,12.124951362609863,4.34e-06,2.35,2350,,,,,,,,,,,,
0.5725360870361328,14.213276863098145,4.006666666666667e-06,2.4,2400,,,,,,,,,,,,
0.5606243515014648,6.303865909576416,3.673333333333334e-06,2.45,2450,,,,,,,,,,,,
0.5153064346313476,13.182849884033203,3.3400000000000006e-06,2.5,2500,,,,,,,,,,,,
0.5483547210693359,10.879838943481445,3.0066666666666674e-06,2.55,2550,,,,,,,,,,,,
0.522003288269043,9.167923927307129,2.6733333333333333e-06,2.6,2600,,,,,,,,,,,,
0.5190868759155274,15.63919734954834,2.3400000000000005e-06,2.65,2650,,,,,,,,,,,,
0.5523436355590821,17.735483169555664,2.006666666666667e-06,2.7,2700,,,,,,,,,,,,
0.5380113220214844,9.896026611328125,1.6733333333333335e-06,2.75,2750,,,,,,,,,,,,
0.4845200729370117,9.447210311889648,1.34e-06,2.8,2800,,,,,,,,,,,,
0.5308096694946289,18.4171142578125,1.0066666666666668e-06,2.85,2850,,,,,,,,,,,,
0.5755242156982422,14.038398742675781,6.733333333333334e-07,2.9,2900,,,,,,,,,,,,
0.49560462951660156,13.662293434143066,3.4000000000000003e-07,2.95,2950,,,,,,,,,,,,
0.5302720260620117,13.303363800048828,6.666666666666667e-09,3.0,3000,,,,,,,,,,,,
,,,3.0,3000,0.5237694382667542,0.847,0.801860153406357,0.843752670568096,11.2058,178.478,11.155,,,,,
,,,3.0,3000,,,,,,,,1523.0313,31.516,1.97,36041328362880.0,0.8522811508178711
